-6.2398	1.5361
-5.9553	1.5361
-5.7927	1.5158
-5.5691	1.4344
-5.4472	1.3327
-5.2033	1.1495
-5.0203	0.98678
-4.6951	0.72228
-4.3293	0.43744
-3.9837	0.23398
-3.6585	0.030519
-3.3943	-0.050865
-3.0488	-0.091556
-1.1179	-0.091556
0.93496	-0.1119
3.0894	-0.050865
4.6951	-0.13225
5.061	-0.21363
5.4268	-0.27467
5.752	-0.43744
6.0569	-0.6409
6.2195	-0.74262
6.3008	-0.82401
6.3008	-0.88505
6.1585	-1.0071
5.8943	-1.1089
5.5488	-1.1699
5.0203	-1.2106
4.5935	-1.2309
3.6789	-1.2309
2.561	-1.2309
1.748	-1.2309
1.7073	-1.4344
1.7073	-1.4954
1.565	-1.5361
1.3415	-1.5565
1.1789	-1.5361
0.77236	-1.4547
0.77236	-1.3937
0.4878	-1.2716
-0.69106	-1.2106
-1.687	-1.2106
-2.2154	-1.2106
-2.8049	-1.1699
-3.3333	-1.1292
-4.0447	-1.0071
-5.5081	-0.70193
-6.1382	-0.55951
-6.1179	-0.3764
-5.4675	-0.25432
-5.9146	0.82401
-6.2602	1.5768
